District,Season,Year,Crop,AvgAirTemp,MinAirTemp,MaxAirTemp,AvgTempSkew,AvgTempKurt,AvgRelHum,AvgRelHumSkew,AvgRelHumKurt,AvgDewPt,AvgDewPtSkew,AvgDewPtKurt,AvgPrec,AvgPrecSkew,AvgPrecKurt,AvgWind,Yield,MLR_Prediction,DT_Prediction
10,1,2007,29,29.46097561,16.6,44.4,0.727876871,-0.35263064899999996,62.16178862,-0.34239442200000003,-1.131818954,20.35528455,-1.0854519440000001,0.779194009,4.0314702258318516,6.566479421388269,0.779194009,3.25203252,0.63,0.6300000000000046,0.63
11,1,2002,30,24.2326087,16.4,33.3,0.45998681799999996,0.064124924,81.49347826,-1.1024416320000001,0.8900686790000001,20.82608696,-1.276255773,2.485519548,6.331521738999999,3.514111222,14.58812049,4.05326087,2.19,2.1900000000000057,2.19
13,2,2002,14,28.21463415,18.4,45.2,1.681195056,2.038018409,73.59268293,-1.6887985319999999,1.5566708569999999,21.85365854,-2.275271644,4.474933163999999,4.0314702258318516,6.566479421388269,4.474933163999999,3.052845528,0.76,0.7600000000000017,0.7599999999999999
4,4,2001,27,14.5339726,-5.5,34.5,-0.05302818,-1.25901502,43.20164384,0.643550201,-0.449025946,1.126849315,0.18399641,-0.6812505409999999,4.0314702258318516,6.566479421388269,-0.6812505409999999,2.545479452,10.15,10.150000000000004,10.21
6,1,2012,26,25.19444444,20.7,38.2,0.592967221,-0.344289435,78.54,-1.314087902,1.28725878,21.14666667,-1.682284572,4.384438437,4.0314702258318516,6.566479421388269,6.815976049672381,5.126666667,0.24,0.23999999999999755,0.2400000000000001
1,4,2008,20,28.37178082,13.0,42.5,0.027854006,-0.184263919,47.18410959,0.681201046,-0.990409207,14.58493151,-0.053223597000000004,-1.322235606,3.2260273969999997,4.923072401000001,-1.322235606,2.8846575339999996,1.0,0.9999999999999947,1.0
5,1,2006,31,25.67763158,19.7,33.4,0.204718895,-0.235830414,69.34539474,0.09885286300000001,-0.47931331899999996,19.58355263,-0.24818432199999998,0.380584724,6.798684211,2.018568359,3.6863515280000003,4.916447368,1.0,1.0000000000000053,1.0
1,2,1998,3,25.07682119,12.6,36.9,-0.204042395,-0.8509261690000001,43.43509934,0.8054113509999999,-0.285289602,10.87483444,-0.310458766,-0.10180654199999999,0.331125828,5.373252951,-0.10180654199999999,2.176821192,1.0,1.0000000000000084,1.0
3,4,1999,27,28.08164384,13.6,43.7,0.44951492600000004,-0.50533035,39.75945205,0.803831746,-0.47159249299999995,11.23835616,0.032596587999999996,-1.1363976690000002,4.0314702258318516,6.566479421388269,-1.1363976690000002,3.304383562,1.5,1.5000000000000067,1.5
10,1,2001,31,31.73495935,21.4,43.2,-0.06742538,-0.70349738,47.71138211,0.520504938,-0.935283885,18.02764228,-0.354585721,-0.759087745,4.0314702258318516,6.566479421388269,-0.759087745,3.519512195,1.0,1.000000000000012,1.0
13,1,2002,26,28.21463415,18.4,45.2,1.681195056,2.038018409,73.59268293,-1.6887985319999999,1.5566708569999999,21.85365854,-2.275271644,4.474933163999999,4.0314702258318516,6.566479421388269,4.474933163999999,3.052845528,0.27,0.27000000000000735,0.27
3,4,2006,18,27.82849315,10.8,42.0,-0.07130329,-0.306885764,41.16136986,0.9244959490000001,-0.024316502,12.12136986,0.135054554,-1.1055824029999999,4.0314702258318516,6.566479421388269,-1.1055824029999999,3.10109589,0.5,0.499999999999996,0.5
4,1,2011,31,19.35528455,7.5,31.4,-0.001581283,0.734340172,71.32682927,-0.924504872,0.357836812,13.78455285,-0.587288853,-0.201267385,4.843902439,3.799001156,-0.201267385,2.11300813,0.75,0.7500000000000017,0.75
6,4,2003,32,23.41764706,21.1,28.2,0.633642469,0.573983853,86.28125,0.150594691,-0.4164328470000001,21.0375,0.151997682,-0.997992333,4.0314702258318516,6.566479421388269,6.815976049672381,6.6375,0.25,0.2500000000000049,0.25
5,1,2001,6,25.13881579,15.6,34.8,1.004186459,1.6789546469999999,72.9375,-0.931120318,0.94705276,19.77894737,-1.97767687,5.674409418,6.615131579,2.971615477,9.914767558,4.5921052630000005,1.91,1.9100000000000006,1.91
7,3,1998,1,30.96803279,17.2,42.5,-0.39311112200000004,-0.913368152,37.21393443,0.9145873990000001,0.356690971,13.62540984,-0.287097087,0.089042762,0.3795081970000001,5.385820541,0.089042762,3.0581967210000003,0.57,0.5700000000000035,0.57
7,4,2005,33,27.03205479,11.6,41.7,0.238466979,-0.638845866,50.60986301,0.180694986,-1.1214503279999999,14.50849315,-0.47424839399999996,-0.7544882820000001,3.4249315069999997,3.850086539,-0.7544882820000001,3.283287671,3.61,3.6100000000000003,3.63
7,2,2006,1,23.81900826,13.3,33.4,0.139891445,-0.625167679,58.81157025,0.199228343,-0.5404039,14.7338843,-1.166599067,1.174443016,0.867768595,7.270779738,1.174443016,2.52231405,0.41,0.4099999999999996,0.41000000000000003
3,1,2010,24,27.53495935,15.7,41.3,1.015816028,0.917846552,70.78211382,-0.85847488,-0.08702291,21.31382114,-1.4015074730000001,2.419025191,4.0314702258318516,6.566479421388269,2.419025191,3.444715447,0.65,0.6499999999999992,0.65
2,1,2007,2,26.021296300000003,16.5,34.2,0.487994404,-0.777858863,72.92777778,-0.731797687,0.08790717199999999,20.62407407,-1.7015996290000002,3.767065332,9.4,2.067511201,3.774307982,3.8759259260000003,0.97,0.9699999999999936,0.9699999999999999
11,2,2009,34,25.92216405,12.1,47.5,0.62625598,-0.42266506299999995,52.07609075,-0.111966551,-1.232406895,13.66928447,-0.261493084,-1.104473869,2.15,4.979702487,26.35690918,3.642582897,0.59,0.5899999999999976,0.59
3,1,1999,24,28.43902439,22.0,38.0,0.08966364199999999,-0.84031594,62.06341463,0.029205764,-0.835141247,19.97723577,-1.399619489,4.012260003,4.0314702258318516,6.566479421388269,4.012260003,4.33495935,0.66,0.6600000000000121,0.660092449909091
8,2,2010,35,30.59032258,9.3,48.5,0.530918855,-0.306816037,60.71806452,-0.6374685170000001,-0.80053782,20.75225806,-0.9641781509999999,0.132287767,4.0314702258318516,6.566479421388269,0.132287767,2.759354839,0.0,-1.1773661214446776e-15,0.0
1,1,1998,33,28.75751634,15.4,43.2,1.268928698,1.9095280819999998,70.44052288,-1.129249926,0.316944868,22.31830065,-2.4633715069999997,7.2303751620000005,5.920915032999999,3.038831362,7.2303751620000005,3.02875817,1.639261745,1.6392617450000104,1.64
13,1,2006,25,29.38861789,18.8,43.6,0.714773511,-0.47001029,58.93658537,-0.17697337800000001,-1.5283633509999999,19.17479675,-0.838352465,-0.37948154,4.0314702258318516,6.566479421388269,-0.37948154,2.9926829269999997,0.5,0.5000000000000058,0.5
1,4,2001,20,24.9,18.4,31.2,0.3877481572634384,0.08097558508440693,33.8,-0.3399967856956908,-0.07376239569435805,7.8,-0.7516947941328299,0.7939890095850732,4.0314702258318516,6.566479421388269,6.815976049672381,1.8,1.0,1.0000000000000018,1.0
9,2,2002,14,25.91666667,13.5,37.0,-0.298790359,-1.033276477,38.37833333,2.037811285,1.613547071,9.836666667000001,0.7864043940000001,0.573390847,0.036666667,56.31581609,7.425087115,1.76,0.65,0.6500000000000119,0.65
4,4,2007,36,13.21205479,-8.5,34.5,-0.19114384399999998,-1.005102673,55.04054795,0.076089278,-1.16499029,3.346027397,0.037027238999999997,-1.079730764,4.0314702258318516,6.566479421388269,-1.079730764,2.7002739730000003,13.31,13.31,13.31
12,2,2009,14,24.25245902,5.4,50.1,0.331954739,-0.768941656,42.34462659,0.521798625,-0.49175666700000004,9.063934426,0.504018862,-0.913274383,1.0801169590000002,5.0733299910000005,28.36542941,2.525318761,0.0,-7.997568982268092e-15,0.0
3,1,2003,33,26.55121951,19.3,36.5,0.730351808,-0.058418842,77.20406504,-1.009420754,0.327088873,22.05365854,-1.185431948,2.561315095,4.0314702258318516,6.566479421388269,2.561315095,3.267479675,2.98,2.9800000000000093,2.98
1,1,2011,29,28.64117647,12.5,44.0,1.7694845019999998,3.65907056,76.14771242,-0.6891763390000001,-0.630238353,23.92679739,-1.477530842,1.333825139,4.0314702258318516,6.566479421388269,1.333825139,4.318954248,0.473684211,0.47368421099999936,0.473684211
3,1,2001,24,29.32439024,21.9,41.8,0.6149757060000001,0.29887812199999997,61.03821138,-0.374288189,-0.726516583,20.24552846,-1.1991668709999999,1.0723300709999999,4.0314702258318516,6.566479421388269,1.0723300709999999,4.045528455,0.34,0.34000000000001057,0.3399999999999999
1,1,2002,33,29.33006536,16.5,40.0,0.513335156,-0.45786296600000004,59.80457516,-0.4536728820000001,-0.931078253,19.50915033,-1.1574426340000001,0.23947410100000002,3.120915033,4.85565811,0.23947410100000002,3.2941176469999998,0.690200852,0.6902008520000117,0.69
3,2,2004,3,25.23516484,12.1,37.9,-0.369570105,-0.64345249,34.48351648,1.8466843309999998,3.729294807,7.52967033,0.013587188,-0.93994179,4.0314702258318516,6.566479421388269,-0.93994179,2.623076923,0.82,0.8200000000000002,0.8200000000000002
5,4,2007,37,24.9,13.3,35.8,-0.200892866,0.08272874200000001,70.93983516,-0.499927674,-0.69695342,19.07884615,-0.851408299,-0.027269661,5.4436813189999995,2.721245605,7.836997563,3.5434065930000003,0.27,0.26999999999999774,0.27
5,4,2011,21,23.84835165,14.2,35.8,-0.5768857470000001,-0.012043381,78.43873626,-0.946545098,1.0508047740000002,19.84835165,-1.043918354,0.609759901,4.0314702258318516,6.566479421388269,6.815976049672381,3.0387362639999997,11.94,11.939999999999985,11.94
2,1,2005,10,25.67777778,18.5,35.0,0.354929848,-0.6522950989999999,71.82777778,-0.979715769,0.919261694,19.99351852,-2.023238885,5.063679571000001,9.423148148,2.272195275,5.02977903,4.221296296,0.76,0.7599999999999977,0.7599999999999999
7,4,1999,18,26.55424658,13.0,42.7,0.705055436,-0.434027899,51.13643836,0.197808321,-1.370338035,13.99835616,-0.120207089,-1.470779347,2.263287671,4.519300242,-1.470779347,3.2854794519999997,3.0,3.000000000000005,3.0
5,4,2006,9,24.94835165,12.8,38.4,0.242190892,0.3782784420000001,68.86758242,-0.6942300440000001,0.21951283300000002,18.58818681,-1.827887992,4.303297938,4.593406593,2.6257233859999998,7.020914534,3.666758242,0.73,0.7299999999999909,0.73
8,1,2004,29,28.59806452,7.8,43.2,-0.5008830439999999,-0.390295939,57.44258065,-0.079472217,-1.018675599,18.46580645,-0.7736824640000001,-0.26148676,2.0645161290000003,5.00267586,-0.26148676,1.922580645,0.4,0.40000000000000774,0.39999999999999997
10,1,2011,17,26.56504065,15.7,36.0,-0.20262660899999999,0.193890867,79.59430894,-1.28792252,1.244558955,22.68780488,-1.3509225980000001,1.779327418,5.008943089,2.188967388,1.779327418,3.019512195,0.34,0.3399999999999949,0.3399999999999999
6,4,2011,38,24.18983516,13.3,41.2,0.657767346,0.138167083,72.78956044,-1.072077299,0.35573006700000004,18.59313187,-0.974107023,-0.227557713,4.0314702258318516,6.566479421388269,6.815976049672381,3.775,8.13,8.129999999999992,8.13
4,4,2004,16,13.38273973,-5.9,35.1,-0.043087455,-1.2924444929999999,60.80246575,-0.331105812,-1.0388765420000001,5.099726027,0.13803842300000002,-1.220693566,4.0314702258318516,6.566479421388269,-1.220693566,2.63369863,0.65,0.6500000000000008,0.65
2,1,2002,22,24.86944444,16.4,37.2,1.821890292,3.1905159839999997,77.2,-1.654097695,2.233512158,20.28425926,-1.895442254,4.010480511,5.396296296,3.849747972,17.56836963,3.766666667,0.17,0.1700000000000034,0.16999999999999998
2,2,2009,3,25.92216405,12.1,47.5,0.62625598,-0.42266506299999995,52.07609075,-0.111966551,-1.232406895,13.66928447,-0.261493084,-1.104473869,2.15,4.979702487,26.35690918,3.642582897,0.29,0.28999999999998943,0.29
